,local_timestamp,side,price,amount
1,1722470402982045,sell,0.0110435,1633
2,1722470402982047,sell,0.0110435,25445
3,1722470402996765,sell,0.0110435,4471
4,1722470403047136,buy,0.0110436,5378
5,1722470403047137,buy,0.0110436,7054
6,1722470403054051,buy,0.0110436,27302
7,1722470403068890,sell,0.0110435,541
8,1722470403068901,sell,0.0110435,954
9,1722470403068903,sell,0.0110435,476
10,1722470403068904,sell,0.0110435,1370
11,1722470403070328,sell,0.0110435,3726
12,1722470403070329,sell,0.0110435,1886
13,1722470403070329,sell,0.0110435,16620
14,1722470403070330,sell,0.0110435,4762
15,1722470403070334,sell,0.0110435,6423
16,1722470403070338,sell,0.0110435,7021
17,1722470403070340,sell,0.0110435,11591
18,1722470403070342,sell,0.0110435,833
19,1722470403070354,sell,0.0110435,22465
20,1722470403070398,sell,0.0110431,454
21,1722470403070400,sell,0.0110421,199830
22,1722470403071076,sell,0.0110421,13443
23,1722470403071107,sell,0.011042,139531
24,1722470403071107,sell,0.0110419,36017
25,1722470403077497,sell,0.0110419,18541
26,1722470403085025,buy,0.0110424,8494
27,1722470403094135,sell,0.0110413,7260
28,1722470403094140,sell,0.0110412,5157
29,1722470403094141,sell,0.0110409,454
30,1722470403094163,sell,0.0110407,42480
31,1722470403094164,sell,0.0110403,49923
32,1722470403094165,sell,0.0110403,19740
33,1722470403094165,sell,0.0110401,5157
34,1722470403094166,sell,0.0110401,83889
35,1722470403094166,sell,0.01104,181141
36,1722470403096227,sell,0.0110399,454
37,1722470403096236,sell,0.0110399,86697
38,1722470403096238,sell,0.0110399,3857
39,1722470403096238,sell,0.0110399,33263
40,1722470403096239,sell,0.0110399,18690
41,1722470403096252,sell,0.0110399,38601
42,1722470403096253,sell,0.0110398,454
43,1722470403096254,sell,0.0110398,243
44,1722470403653422,buy,0.0110408,45126
45,1722470403653423,buy,0.0110408,1495
46,1722470403653424,buy,0.0110412,59430
47,1722470403653427,buy,0.0110416,59430
48,1722470403653428,buy,0.011042,59430
49,1722470403653429,buy,0.011042,53634
50,1722470403846978,buy,0.011042,8049
51,1722470404244346,sell,0.0110419,2050
52,1722470404597817,sell,0.0110419,1421
53,1722470404602705,sell,0.0110419,28135
54,1722470404602709,sell,0.0110419,3495
55,1722470404602709,sell,0.0110419,9138
56,1722470404602710,sell,0.0110419,45126
57,1722470404602710,sell,0.0110419,1495
58,1722470404602710,sell,0.0110408,11110
59,1722470404609599,sell,0.0110409,2633
60,1722470404724097,buy,0.0110419,6289
61,1722470404746887,buy,0.0110419,1776
62,1722470404751243,buy,0.0110419,7922
63,1722470404819183,sell,0.0110418,140752
64,1722470404819185,sell,0.0110418,1495
65,1722470404838366,sell,0.0110409,52245
66,1722470404838367,sell,0.0110409,8527
67,1722470404838367,sell,0.0110409,49315
68,1722470404838368,sell,0.0110408,190892
69,1722470404838371,sell,0.0110407,11550
70,1722470404838372,sell,0.0110407,20000
71,1722470404838376,sell,0.0110407,32030
72,1722470404838380,sell,0.0110402,4024
73,1722470404838383,sell,0.01104,97684
74,1722470404838384,sell,0.0110399,102775
75,1722470404838384,sell,0.0110398,90196
76,1722470404838387,sell,0.0110398,74253
77,1722470404838852,sell,0.0110398,1441
78,1722470404904194,sell,0.0110399,41826
79,1722470404908928,sell,0.0110399,22752
80,1722470404923529,sell,0.0110399,38197
81,1722470404924700,sell,0.0110399,12108
